codigo,CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
271,2020,4,12019000,21,160,SC,917800,4340,4339648,1468123
272,2020,3,12019000,21,383,RO,210200,926,925880,299559
273,2020,4,12019000,21,53,PA,217800,13083,13083357,4564405
274,2020,2,12019000,21,628,SP,210200,10139,10139212,3452503
275,2020,2,12019000,21,53,SP,210200,9326,9326254,3186447
276,2020,4,12019000,21,160,BA,727600,11295,11295487,3995440
277,2020,2,12019000,21,53,RO,210200,100,100000,35621
278,2020,2,12019000,21,160,SC,817800,12500,12500479,4267619
279,2020,2,12019000,21,576,PA,927502,99,99427,34532
280,2020,2,12019000,21,573,MT,227600,106146,106146310,37320030
281,2020,3,12019000,21,827,MT,227600,39230,39231096,13285601
282,2020,2,12019000,21,160,GO,917800,27239,27238704,9394184
283,2020,3,12019000,21,160,MT,727600,33038,33037230,11399195
284,2020,3,12019000,21,160,MS,917800,240303,240302525,83410197
285,2020,2,12019000,21,160,PR,917800,609917,610044599,211382857
286,2020,1,12019000,21,160,GO,727600,53939,53937412,20070054
287,2020,1,12019000,21,245,MT,210200,48160,48160000,16775574
288,2020,4,12019000,21,160,MT,927700,302,301588,101022
289,2020,4,12019000,21,160,MS,1017700,69415,69414197,23415900
290,2020,2,12019000,21,160,MT,817800,1341775,1341772904,470025821
291,2020,3,12019000,21,160,SC,927700,176654,176653557,60236556
292,2020,4,12019000,21,858,SP,917800,599,598949,202163
293,2020,4,12019000,21,493,MT,210200,72546,72545074,23487849
294,2020,3,12019000,21,160,TO,320151,250825,250825373,86792483
295,2020,3,12019000,21,245,MT,817800,41000,41000000,13653410
296,2020,1,12019000,21,160,GO,817800,881,880555,317184
297,2020,3,12019000,21,81,RS,917800,2383,2382919,828160
298,2020,1,12019000,21,160,RS,1017700,141397,141398490,51197763
299,2020,4,12019000,21,161,ND,817800,34000,34000000,12673760
300,2020,1,12019000,21,160,BA,517800,9000,9000000,3340722
301,2020,3,12019000,21,81,MT,320151,18624,18623680,6385363
302,2020,2,12019000,21,160,ND,917800,32880,32880158,11766054
303,2020,2,12019000,21,160,GO,927700,8427,8427626,2948108
304,2020,4,12019000,21,386,PA,217800,171,171154,55627
305,2020,3,12019000,21,160,RS,517800,1072,1072203,358566
306,2020,3,12019000,21,850,RR,260151,30,30000,10619
307,2020,4,12019000,21,576,MS,917800,22158,22157345,7493917
308,2020,4,12019000,21,493,MT,217800,23944,23944110,8254648
309,2020,4,12019000,21,81,PR,1017700,460,459510,149433
310,2020,3,12019000,21,160,MT,927502,36153,36152758,12540669
311,2020,4,12019000,21,576,RS,927502,408,407785,134447
312,2020,3,12019000,21,245,PI,320151,1650,1650000,556621
313,2020,2,12019000,21,160,MT,927700,78,77563,28000
314,2020,3,12019000,21,160,MT,1017700,264,263823,88787
315,2020,4,12019000,21,827,MT,320151,1761,1761348,602029
316,2020,1,12019000,21,160,TO,517800,1000,1000000,361390
317,2020,4,12019000,21,767,ND,817800,2000,2000000,800000
318,2020,4,12019000,21,576,PR,927502,1303,1302929,429575
319,2020,2,12019000,21,576,SC,927502,1029,1029399,357521
320,2020,4,12019000,21,576,TO,517800,2281,2281173,741313
321,2020,4,12019000,21,576,SC,927502,14554,14554252,4798537
322,2020,2,12019000,21,160,SP,817800,210106,210106099,73100864
323,2020,3,12019000,21,827,PA,217800,480,480055,166483
324,2020,3,12019000,21,827,MT,210200,78900,78900272,27106690
325,2020,3,12019000,21,160,MT,320151,295905,295906959,101750043
326,2020,4,12019000,21,538,MT,917800,45000,45000000,14794950
327,2020,4,12019000,21,160,ND,917800,840933,840933515,294745570
328,2020,4,12019000,21,628,MT,210200,48807,48807206,15885282
329,2020,4,12019000,21,160,MT,320151,2549,2549030,878466
330,2020,4,12019000,21,827,PR,210200,24711,24711342,8231807
331,2020,1,12019000,21,399,PI,320151,3,2824,1007
332,2020,3,12019000,21,858,DF,727600,173,172859,60061
333,2020,1,12019000,21,776,MG,727600,445,445478,162599
334,2020,4,12019000,21,81,RS,1017700,6905,6905335,2245615
335,2020,3,12019000,21,160,PR,1017700,54591,54591178,18886277
336,2020,2,12019000,21,776,GO,817800,16000,16000000,5427680
337,2020,4,12019000,21,160,PR,927700,11109,11108617,3741778
338,2020,2,12019000,21,160,BA,320151,300,299654,103145
339,2020,3,12019000,21,858,DF,817800,6,5669,1927
340,2020,4,12019000,21,190,SP,817800,4572,4572039,1618136
341,2020,4,12019000,21,776,SP,817800,43805,43805603,14374683
342,2020,4,12019000,21,576,SP,817800,12117,12117661,4144714
343,2020,3,12019000,21,160,RS,917800,349,348636,118315
344,2020,4,12019000,21,573,PA,217800,31411,31410657,11096166
345,2020,3,12019000,21,160,BA,817800,1931,1930664,674806
346,2020,3,12019000,21,383,PR,210200,8698,8697556,2765960
347,2020,1,12019000,21,573,PI,320151,2610,2610000,915014
348,2020,3,12019000,21,160,SC,927700,563,563270,199025
349,2020,2,12019000,21,160,MG,817800,53398,53398626,18820464
350,2020,3,12019000,21,776,MT,217800,69998,69998476,24204773
351,2020,4,12019000,21,160,PR,917800,1104766,1104767132,377316083
352,2020,4,12019000,21,160,MG,817800,277871,277868017,95340653
353,2020,2,12019000,21,576,PR,927502,1166,1166297,405067
354,2020,3,12019000,21,160,MT,817800,1150613,1150609719,400218299
355,2020,4,12019000,21,776,MS,817800,20810,20809123,7026840
356,2020,4,12019000,21,160,MA,320151,1454,1453800,490521
357,2020,4,12019000,21,160,ND,817800,1875955,1875955024,631737818
