PRODUTOS,VALOR VENDA ,CUSTO PRODUTO,MÊS,RECEITA,LUCRO ,NÚMERO DE PRODUTOS VENDIDOS,CATEGORIA
 PENDENTE BALOON 1xE27 BRANCA,140,81, FEVEREIRO,420,177,3,PENDENTE
 PENDENTE BALOON 1xE27 PRETO,140,83.58, FEVEREIRO,280,112.84,2,PENDENTE
 REFLETOR LED 50W 6500K PRETO,180,91.4, FEVEREIRO,1260,620.2,7,REFLETOR
 LAMPADA MINI DICROICA 3.5W 3000K 210LM,25,13.73, FEVEREIRO,400,180.32,16,LAMPADA
 REFLETOR LED 30W 3000K PRETO,120,66.78, FEVEREIRO,1800,798.3,15,REFLETOR
 REFLETOR TR LRD 10W SLIM 6500K PRETO,60,34.09, FEVEREIRO,1380,595.93,23,REFLETOR
 REFLETOR TR LED 10W SLIM 3000K PRETO,55,27.3, FEVEREIRO,1155,581.7,21,REFLETOR
 LAMPADA LED FIREWORKS VINTAGE D95,100,57.29, FEVEREIRO,1200,512.52,12,LAMPADA
 LAMPADA LED FIREWORKS VINTAGE G125,120,65.68, FEVEREIRO,1080,488.88,9,LAMPADA
 LAMP LED AR111 24° 12W 2700K,100,59.19, FEVEREIRO,2900,1183.49,29,LAMP
 LAMPADA LED AR70 4.8W 2700K DIMERIZAVEL GU10,90,51.25, FEVEREIRO,2790,1201.25,31,LAMPADA
 LAMPADA MINI DICROICA DIMERIZAVEL 3.5W 3000K 210LM,60,33.2, FEVEREIRO,480,214.4,8,LAMPADA
 LUMINARIA DE EMERGENCIA LED PRATIC,40,23.98, FEVEREIRO,1840,736.92,46,LUMINARIA
 PENDENTE TASCHIBRA DOT METAL E COBRE,80,48.02, FEVEREIRO,0,0,0,PENDENTE
 TARTARUGA FORCE LED 12W 3000K,70,40.08, FEVEREIRO,140,59.84,2,TARTARUGA
 LAM.LED FILAMENTO VINTAGE DIM. ST64 127V AMBAR,50,28.76, FEVEREIRO,600,254.88,12,LAM.LED
 LAMPADA LED FILAMENTO VINTAGE GLOBO G80 AMBAR,45,24.44, FEVEREIRO,495,226.16,11,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE ST64 AMBAR,40,22.6, FEVEREIRO,480,208.8,12,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE 4W ST AMBAR,40,19.9, FEVEREIRO,600,301.5,15,LAMPADA
 PENDENTE TASCHIBRA AISHA BOREAL CONHAQUE 1xE27,120,70.33, FEVEREIRO,120,49.67,1,PENDENTE
 PENDENTE TASCHIBRA SARAH BOREAL CONHAQUE 1xE27,120,74.37, FEVEREIRO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA YASMIN BOREAL CONHAQUE 1xE27,110,66.73, FEVEREIRO,0,0,0,PENDENTE
 VELA LED DECORATIVA 15 CM PILHA AMARELO,24.99,14.85, FEVEREIRO,99.96,40.56,4,VELA
 VELA LED DECORATIVA 10CM PILHA AMARELA,22.99,13.99, FEVEREIRO,114.95,45,5,VELA
 PENDENTE TASCHIBRA LAYLA P CANELADO CONHAQUE 1xE27,120,76.51, FEVEREIRO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA BADIH P BOREAL CONHAQUE 1xE27 PT,120,73.4, FEVEREIRO,240,93.2,2,PENDENTE
 LAMP.LED TKL 30 4.9W 6500K,10,6.3, FEVEREIRO,350,129.5,35,LAMP.LED
 LAMPADA LED TKL30 4.9W 3000K 400LM,10,5.39, FEVEREIRO,450,207.45,45,LAMPADA
 DRIVE TASCHIBRA PARA PAINEL LED 30 / 24W AUTO VOLT,20,11.39, FEVEREIRO,120,51.66,6,DRIVE
 DRIVE TASCHIBRA PARA PAINEL LED 22 / 18W AUTO VOLT,20,9.29, FEVEREIRO,160,85.68,8,DRIVE
 LUMINARIA LED SLIM 20 EMB. 4000K BRANCA,310,177.56, FEVEREIRO,0,0,0,LUMINARIA
 LUMINARIA LED SLIM 10 EMB. 4000K BRANCA,180,87.5, FEVEREIRO,180,92.5,1,LUMINARIA
 PLAFON LED QUADRADO 18W SOB.3000K,70,37.83, FEVEREIRO,560,257.36,8,PLAFON
 PLAFON LED REDONDO 18W SOB.3000K,80,33.71, FEVEREIRO,800,462.9,10,PLAFON
 PAINEL LED 3W QUADRADO EMBUTIR 3000K,20,10.8, FEVEREIRO,460,211.6,23,PAINEL
 PAINEL LED 3W REDONDO EMBUTIR 3000K,20,10.26, FEVEREIRO,420,204.54,21,PAINEL
 SPOT EMB.LED 5W 3000K QUADRADO,35,21.51, FEVEREIRO,1155,445.17,33,SPOT
 DIFUSOR EM POLICARBONATO PARA TKL 5400,50,34.55, FEVEREIRO,650,200.85,13,DIFUSOR
 LAM.HIGH LED 5400 61W 6500K E27,279,176.51, FEVEREIRO,0,0,0,LAM.HIGH
 LAM.LED TDL35 4.9W 350LM 3000K GU10 DICROICA,20,11, FEVEREIRO,300,135,15,LAM.LED
 LAM.LED 250 3000K GU10,18,14.8, FEVEREIRO,612,108.8,34,LAM.LED
 ESPETO LED SOLAR PRATIC 3000K,60,43.63, FEVEREIRO,660,180.07,11,ESPETO
 LAMP HIGH LED TKL 4800 E27 6500K,200,19.54, FEVEREIRO,0,0,0,LAMP
 LAMP HIGH LED TKL 3600 E27 6500K,120,78.2, FEVEREIRO,840,292.6,7,LAMP
 LAMP HIGH LED TKL 2700 E27 6500K,70,37.44, FEVEREIRO,980,455.84,14,LAMP
 PAINEL LED 30 QUADRADO 24W EMBUTIR 4000K,80,48.34, FEVEREIRO,720,284.94,9,PAINEL
 PAINEL LED 18W EMB.4000K,50,28.01, FEVEREIRO,800,351.84,16,PAINEL
 PLAFON LED 12W 4000K EMBUTIR QUADRADO PAINEL DE LED BRANCO,35,18.27, FEVEREIRO,910,434.98,26,PLAFON
 PLAFON LED 12W 4000K EMBUTIR REDONDO PAINEL DE LED BRANCO,38,22.49, FEVEREIRO,836,341.22,22,PLAFON
 PAINEL LED 30 QUADRADO 24W SOBREPOR 4000K,110,54.83, FEVEREIRO,330,165.51,3,PAINEL
 PAINEL DE LED 22 QUADRADO SOBREPOR 4000K,60,33.26, FEVEREIRO,720,320.88,12,PAINEL
