codigo_ocorrencia 1,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,ocorrencia_saida_pista,ocorrencia_tipo,aeronave_registro_categoria,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_ano_fabricacao,aeronave_fase_operacao,aeronave_assentos
47025,ACIDENTE,SP,2/17/2013,11:40:00,1,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,1976,ESPECIALIZADA,15
47042,INCIDENTE,RJ,2/4/2013,14:15:00,0,NÃO,POUSO EM LOCAL NÃO PREVISTO,HELICÓPTERO,TÁXI AÉREO,NENHUM,2009,APROXIMAÇÃO FINAL,1
47047,ACIDENTE,RS,2/22/2013,10:30:00,2,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,DESTRUÍDA,1984,ESPECIALIZADA,2
47048,INCIDENTE GRAVE,SP,2/23/2013,17:00:00,0,SIM,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1960,DECOLAGEM,14
47049,INCIDENTE,RJ,2/8/2013,18:30:00,0,NÃO,OUTROS,HELICÓPTERO,TÁXI AÉREO,LEVE,2003,DECOLAGEM,6
47050,INCIDENTE,DF,2/13/2013,17:20:00,0,NÃO,OUTROS,HELICÓPTERO,POLICIAL,LEVE,2002,OUTRA FASE,11
47052,INCIDENTE,AM,2/11/2013,12:30:00,0,NÃO,COLISÃO COM AVE,AVIÃO,TÁXI AÉREO,LEVE,1995,DESCIDA,14
47053,INCIDENTE,RJ,2/18/2013,15:35:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,HELICÓPTERO,TÁXI AÉREO,LEVE,2003,DECOLAGEM,7
47054,INCIDENTE,AC,2/19/2013,14:06:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,NENHUM,1978,TÁXI,0
47055,INCIDENTE,RJ,2/9/2013,14:00:00,0,NÃO,POUSO LONGO,AVIÃO,***,NENHUM,2002,CORRIDA APÓS POUSO,6
47056,INCIDENTE,SP,2/13/2013,15:30:00,0,NÃO,OUTROS,HELICÓPTERO,PRIVADA,LEVE,2009,ESTACIONAMENTO,11
47057,INCIDENTE,SP,2/21/2013,20:21:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,PRIVADA,NENHUM,2008,SUBIDA,6
47058,INCIDENTE,PA,2/26/2013,11:20:00,0,NÃO,OUTROS,AVIÃO,PRIVADA,LEVE,1981,POUSO,4
47059,INCIDENTE,DF,2/22/2013,14:42:00,0,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,LEVE,2010,TÁXI,5
47060,INCIDENTE,DF,1/31/2013,8:35:00,0,NÃO,PERDA DE COMPONENTE NO SOLO,AVIÃO,REGULAR,LEVE,1983,POUSO,113
47061,INCIDENTE,MG,2/18/2013,10:30:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,REGULAR,NENHUM,2011,SUBIDA,3
47062,INCIDENTE,RS,2/13/2013,15:45:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1990,DECOLAGEM,4
47063,INCIDENTE,RJ,2/6/2013,17:25:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,NENHUM,1982,POUSO,6
47064,INCIDENTE,DF,2/11/2013,12:28:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,LEVE,1994,TÁXI,4
47065,INCIDENTE,BA,2/12/2013,17:36:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,PRIVADA,NENHUM,1973,DESCIDA,1
47074,ACIDENTE,PR,2/25/2013,14:05:00,2,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,1978,DECOLAGEM,6
47075,ACIDENTE,AM,3/2/2013,12:20:00,0,SIM,COM PARA-BRISAS / JANELA / PORTA,AVIÃO,TÁXI AÉREO,NENHUM,1974,DECOLAGEM,8
47080,INCIDENTE GRAVE,SP,2/24/2013,14:00:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,ESPECIALIZADA,NENHUM,2011,SUBIDA,5
47081,ACIDENTE,SP,3/2/2013,13:30:00,0,NÃO,FALHA DO MOTOR EM VOO,HELICÓPTERO,PRIVADA,SUBSTANCIAL,2011,CRUZEIRO,1
47082,INCIDENTE GRAVE,MT,4/11/2012,11:30:00,0,NÃO,INDETERMINADO,AVIÃO,AGRÍCOLA,LEVE,2002,ESPECIALIZADA,14
47083,INCIDENTE,RJ,2/11/2013,19:00:00,0,NÃO,POUSO EM LOCAL NÃO PREVISTO,HELICÓPTERO,TÁXI AÉREO,NENHUM,2003,POUSO,5
47084,INCIDENTE,MG,2/24/2013,18:45:00,0,NÃO,COLISÃO COM AVE,AVIÃO,PRIVADA,LEVE,2012,APROXIMAÇÃO FINAL,6
47085,INCIDENTE,PA,2/25/2013,18:37:00,0,NÃO,COM TREM DE POUSO,AVIÃO,TÁXI AÉREO,LEVE,1976,CORRIDA APÓS POUSO,7
47086,INCIDENTE,AM,2/25/2013,22:13:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,LEVE,1977,CORRIDA APÓS POUSO,8
47087,INCIDENTE,SP,2/27/2013,21:59:00,0,NÃO,COLISÃO COM AVE,AVIÃO,PRIVADA,NENHUM,2008,POUSO,125
47095,INCIDENTE,SP,2/27/2013,13:50:00,0,NÃO,AERONAVE ATINGIDA POR OBJETO,AVIÃO,REGULAR,LEVE,2008,OPERAÇÃO DE SOLO,125
47096,INCIDENTE,SP,1/20/2013,13:50:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,REGULAR,LEVE,2010,CRUZEIRO,114
47097,INCIDENTE,SP,2/14/2013,22:00:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,REGULAR,LEVE,2008,CRUZEIRO,75
47098,INCIDENTE,SP,2/26/2013,21:20:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,REGULAR,LEVE,2012,CRUZEIRO,125
47099,INCIDENTE,SP,2/6/2013,20:45:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,REGULAR,NENHUM,2011,SUBIDA,7
47100,INCIDENTE,SP,2/16/2013,9:20:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,REGULAR,NENHUM,1978,CRUZEIRO,5
