Index, Preço ,Marca,Modelo,Ano,Status do veículo,Milhas,Cor,Estado,País
1219," $ 17,700.00 ",ford,door,2017,clean vehicle,119520,silver,pennsylvania, usa
1220," $ 18,300.00 ",ford,fusion,2020,clean vehicle,10882,white,california, usa
1221," $ 43,500.00 ",ford,srw,2019,clean vehicle,29010,gray,illinois, usa
1222," $ 15,200.00 ",ford,door,2016,clean vehicle,69003,white,pennsylvania, usa
1223," $ 36,200.00 ",ford,srw,2019,clean vehicle,16207,no_color,illinois, usa
1224," $ 21,900.00 ",ford,mustang,2018,clean vehicle,29748,red,new jersey, usa
1225," $ 20,700.00 ",ford,wagon,2019,clean vehicle,25582,white,california, usa
1226," $ 12,300.00 ",ford,fusion,2019,clean vehicle,24520,gray,california, usa
1227," $ 4,200.00 ",ford,door,2016,clean vehicle,104383,blue,pennsylvania, usa
1228," $ 19,500.00 ",ford,transit,2019,clean vehicle,34164,white,california, usa
1229," $ 14,300.00 ",ford,fusion,2020,clean vehicle,6975,silver,california, usa
1230," $ 13,700.00 ",ford,van,2016,clean vehicle,67150,white,pennsylvania, usa
1231," $ 13,200.00 ",ford,door,2015,clean vehicle,100820,white,pennsylvania, usa
1232," $ 6,200.00 ",ford,door,2014,clean vehicle,142286,white,pennsylvania, usa
1233," $ 6,500.00 ",ford,door,2015,clean vehicle,60015,black,pennsylvania, usa
1234," $ 1,500.00 ",ford,door,2013,clean vehicle,126381,gray,pennsylvania, usa
1235," $ 2,200.00 ",ford,door,2013,clean vehicle,128753,black,pennsylvania, usa
1236," $ 4,200.00 ",ford,door,2013,clean vehicle,0,no_color,pennsylvania, usa
1237," $ 8,700.00 ",ford,van,2013,clean vehicle,64598,white,pennsylvania, usa
1238," $ 3,200.00 ",ford,door,2012,clean vehicle,111532,black,pennsylvania, usa
1239," $ 9,000.00 ",ford,door,2012,clean vehicle,149346,black,pennsylvania, usa
1240," $ 20,000.00 ",ford,edge,2018,clean vehicle,43567,silver,illinois, usa
1241," $ 33,000.00 ",ford,door,2017,clean vehicle,36004,white,texas, usa
1242," $ 23,300.00 ",ford,f-150,2019,clean vehicle,10935,white,south carolina, usa
1243," $ 8,750.00 ",ford,van,2017,clean vehicle,150484,white,illinois, usa
1244," $ 11,975.00 ",ford,door,2012,clean vehicle,122014,white,texas, usa
1245," $ 23,600.00 ",ford,transit,2019,clean vehicle,19363,white,south carolina, usa
1246," $ 12,000.00 ",ford,explorer,2016,clean vehicle,42902,black,texas, usa
1247," $ 30,900.00 ",ford,f-150,2018,clean vehicle,401,red,indiana, usa
