FID,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição,legenda,classe
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6b48,4997,SANTA CATARINA,Witmarsum,2010,5789819921875,3584,1615462988281,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6b0e,3498,MINAS GERAIS,Guapé,2010,110514640625,13475,820145996094,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6b0,4930,SANTA CATARINA,São José,2010,4193679,201746,2078691992188,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6af2,5405,TOCANTINS,São Valério,2010,460772265625,5017,918421972656,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6a55,4848,SÃO PAULO,São José do Barreiro,2010,315289453125,4490,702204003906,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6a11,5082,SÃO PAULO,Rio Grande da Serra,2010,42163078125,41602,1013487011719,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-69be,4335,BAHIA,Canudos,2010,53531296875,15366,3484,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6990,4606,BAHIA,João Dourado,2010,97669578125,21990,444154980469,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6957,3068,PARANÁ,Pérola,2010,1020020546875,9665,1055375976562,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6944,1555,CEARÁ,Cariús,2010,5867628125,19338,3034,Produto Interno Bruto per capita, - 9639.65,1
